PlayerName,Points
Michael Ruffin,6
Kevin Garnett,10
Kevin Garnett,11
Chauncey Billups,15
Dragan Tarlac,4
Terrell Brandon,12
Dragan Tarlac,5
Dragan Tarlac,6
Kevin Garnett,12
Rasho Nesterovic,6
Rasho Nesterovic,7
Kevin Garnett,14
Khalid El-Amin,8
Dragan Tarlac,8
Chauncey Billups,17
Metta World Peace,10
Wally Szczerbiak,6
Metta World Peace,12
Kevin Garnett,15
Kevin Garnett,16
Metta World Peace,14
Jamal Crawford,4
Michael Ruffin,8
Khalid El-Amin,10
Kevin Garnett,17
Wally Szczerbiak,7
Wally Szczerbiak,8
Kevin Garnett,18
Kevin Garnett,19
Wally Szczerbiak,9
Wally Szczerbiak,10
Marcus Fizer,11
Wally Szczerbiak,11
Anthony Peeler,4
Anthony Peeler,5
Khalid El-Amin,12
Jamal Crawford,6
Wally Szczerbiak,12
Wally Szczerbiak,13
Khalid El-Amin,15
Corey Benjamin,7
Jake Voskuhl,2
Jamal Crawford,8
Kevin Garnett,21
Chauncey Billups,19
Kevin Garnett,23
Wally Szczerbiak,15
Metta World Peace,15
Terrell Brandon,14
Chauncey Billups,22
Metta World Peace,16
Terrell Brandon,15
Metta World Peace,17
Metta World Peace,18
Jamal Crawford,10
Rasho Nesterovic,9
Dragan Tarlac,9
Dragan Tarlac,10
Jake Voskuhl,4
Jake Voskuhl,6
Kevin Garnett,24
Kevin Garnett,25
Metta World Peace,19
Metta World Peace,20
Jamal Crawford,13
Terrell Brandon,17
Shandon Anderson,2
Ray Allen,2
Shandon Anderson,4
Shandon Anderson,5
Walt Williams,2
Maurice Taylor,2
Sam Cassell,2
Glenn Robinson,2
Walt Williams,4
Ray Allen,4
Steve Francis,2
Ray Allen,7
Hakeem Olajuwon,2
Glenn Robinson,4
Sam Cassell,4
Steve Francis,4
Scott Williams,2
Steve Francis,6
Steve Francis,7
Shandon Anderson,8
Steve Francis,10
Jason Caffey,2
Kenny Thomas,2
Shandon Anderson,10
Glenn Robinson,6
Glenn Robinson,8
Maurice Taylor,4
Maurice Taylor,6
Lindsey Hunter,2
Maurice Taylor,8
Ervin Johnson,2
Steve Francis,12
Darvin Ham,2
Lindsey Hunter,4
Shandon Anderson,12
Steve Francis,15
Lindsey Hunter,7
Darvin Ham,4
Carlos Rogers,2
Steve Francis,16
Sam Cassell,5
Hakeem Olajuwon,4
Walt Williams,6
Moochie Norris,2
Sam Cassell,6
Sam Cassell,7
Shandon Anderson,14
Ervin Johnson,4
Hakeem Olajuwon,5
Glenn Robinson,10
Steve Francis,17
Steve Francis,18
Ray Allen,9
Walt Williams,8
Ray Allen,11
Walt Williams,11
Glenn Robinson,12
Hakeem Olajuwon,7
Ray Allen,12
Ray Allen,13
Shandon Anderson,15
Shandon Anderson,16
Shandon Anderson,17
Moochie Norris,4
Glenn Robinson,14
Steve Francis,20
Darvin Ham,6
Shandon Anderson,19
Glenn Robinson,16
Ray Allen,15
Jason Caffey,4
Sam Cassell,9
Moochie Norris,6
Sam Cassell,11
Steve Francis,23
Steve Francis,24
Sam Cassell,13
Glenn Robinson,19
Maurice Taylor,10
Hakeem Olajuwon,9
Jason Caffey,5
Hakeem Olajuwon,10
Hakeem Olajuwon,11
Sam Cassell,14
Sam Cassell,15
Maurice Taylor,11
Maurice Taylor,12
Maurice Taylor,14
Sam Cassell,16
Sam Cassell,17
Steve Francis,25
Steve Francis,26
Hakeem Olajuwon,13
Scott Williams,3
Scott Williams,4
Kenny Thomas,4
Sam Cassell,19
Shandon Anderson,21
Steve Francis,27
Moochie Norris,8
Sam Cassell,21
Ervin Johnson,5
Walt Williams,13
Sam Cassell,23
Steve Francis,29
Darvin Ham,7
Moochie Norris,10
Dan Langhi,2
Scott Williams,6
Joel Przybilla,2
Lindsey Hunter,9
Jason Williams,2
Baron Davis,2
Chris Webber,2
Peja Stojakovic,2
David Wesley,2
Chris Webber,4
Baron Davis,5
David Wesley,3
David Wesley,4
David Wesley,6
David Wesley,7
Vlade Divac,2
Vlade Divac,3
Doug Christie,2
David Wesley,9
Chris Webber,6
Vlade Divac,5
David Wesley,11
Doug Christie,4
Derrick Coleman,2
Chris Webber,8
P.J. Brown,2
Doug Christie,6
Chris Webber,10
Chris Webber,12
Hersey Hawkins,2
Peja Stojakovic,5
Derrick Coleman,4
Hersey Hawkins,4
Lawrence Funderburke,1
Derrick Coleman,6
Peja Stojakovic,7
Hersey Hawkins,5
Otis Thorpe,2
Lee Nailon,2
Peja Stojakovic,9
Bobby Jackson,2
Doug Christie,8
David Wesley,13
Jon Barry,2
Baron Davis,8
Jamal Mashburn,1
Jason Williams,4
Chris Webber,13
Doug Christie,9
Jamal Mashburn,3
Baron Davis,10
Chris Webber,15
David Wesley,14
David Wesley,15
Jason Williams,7
Chris Webber,17
Derrick Coleman,7
Jamal Mashburn,5
Jason Williams,10
Derrick Coleman,10
Derrick Coleman,11
Derrick Coleman,12
Vlade Divac,6
Vlade Divac,7
Jon Barry,4
Baron Davis,11
Baron Davis,12
Otis Thorpe,4
Baron Davis,13
Baron Davis,15
Chris Webber,19
Otis Thorpe,6
Baron Davis,17
Hersey Hawkins,6
Hersey Hawkins,7
Jason Williams,12
Jamal Mashburn,7
Peja Stojakovic,12
Jamal Mashburn,8
Jamal Mashburn,9
Chris Webber,20
Chris Webber,21
Lawrence Funderburke,2
Lawrence Funderburke,3
David Wesley,17
Vlade Divac,8
Chris Webber,22
Vlade Divac,10
David Wesley,19
Lawrence Funderburke,5
David Wesley,21
David Wesley,23
Jamal Mashburn,11
Peja Stojakovic,15
Chris Webber,24
David Wesley,24
Baron Davis,19
Peja Stojakovic,17
Peja Stojakovic,18
Doug Christie,11
Baron Davis,21
Doug Christie,12
Vlade Divac,11
Derrick Coleman,14
Vlade Divac,13
Bobby Jackson,3
Shaquille O'Neal,2
Shaquille O'Neal,4
Antonio McDyess,2
Nick Van Exel,2
Tariq Abdul-Wahad,3
Ron Harper,2
Ron Harper,4
Raef LaFrentz,2
Raef LaFrentz,3
Raef LaFrentz,5
Shaquille O'Neal,6
Antonio McDyess,4
Shaquille O'Neal,8
Ron Harper,7
Nick Van Exel,4
Kobe Bryant,1
Kobe Bryant,2
James Posey,2
Shaquille O'Neal,9
Nick Van Exel,6
Shaquille O'Neal,11
Shaquille O'Neal,13
Kobe Bryant,4
Antonio McDyess,6
Kobe Bryant,6
George McCloud,2
Shaquille O'Neal,15
Rick Fox,2
Antonio McDyess,8
Kobe Bryant,8
Nick Van Exel,8
Nick Van Exel,9
Robert Pack,2
Voshon Lenard,1
Voshon Lenard,2
Kobe Bryant,10
Voshon Lenard,5
Kobe Bryant,12
Kobe Bryant,13
Shaquille O'Neal,17
George McCloud,4
Robert Pack,4
Robert Pack,5
Robert Horry,3
Isaiah Rider,1
Isaiah Rider,2
Mike Penberthy,3
Nick Van Exel,12
Robert Horry,5
Terry Davis,2
Terry Davis,4
Kobe Bryant,15
Kobe Bryant,16
Isaiah Rider,4
Antonio McDyess,10
Robert Horry,8
Antonio McDyess,12
Rick Fox,5
Antonio McDyess,13
Antonio McDyess,14
Tariq Abdul-Wahad,6
Nick Van Exel,14
Horace Grant,2
Horace Grant,3
Antonio McDyess,16
Horace Grant,5
Tariq Abdul-Wahad,8
Horace Grant,6
Horace Grant,7
Shaquille O'Neal,19
Tariq Abdul-Wahad,9
Antonio McDyess,17
Ron Harper,10
Tariq Abdul-Wahad,10
Tariq Abdul-Wahad,11
Kobe Bryant,17
Kobe Bryant,18
Horace Grant,8
Horace Grant,9
